,Canonical SMILES,Taste
1735,O=C(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],0
670,Oc1ccc2c(c1)oc(=O)cc2,0
2233,CCOCCc1ccccn1,0
1750,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1cc(O)c(c(c1)O)O,0
1521,CS(=O)(=O)OCCCNCCCOS(=O)(=O)C.Cc1ccc(cc1)S(=O)(=O)O,0
90,COc1cc2CC3(C(c2cc1OC)c1ccc(c(c1OC3)OC)OC)O,0
1613,CCN(CCOC(=O)c1ccc(cc1)N)CC.O.O,0
2182,CCC(=O)OC(COC(=O)CC)COC(=O)CC,0
1834,Cc1cc(OCCOCC[N+](Cc2ccccc2)(C)C)ccc1C(CC(C)(C)C)(C)C.[Cl-],0
1573,CC(CC(=O)C1=C(O)[C@@]([C@@H](C1=O)CC=C(C)C)(O)C(=O)CC=C(C)C)C,0
1843,n1ccc(cc1)c1ccncc1,0
1561,CCC1(C(=O)NC(=NC1=O)[O-])c1ccccc1.[Na+],0
1845,Oc1ccc2c(c1)oc(=O)c1c2oc2c1ccc(c2)O,0
1744,OC(=O)c1cccnc1Nc1cccc(c1C)Cl,0
1806,CCCNCC(COc1ccccc1C(=O)CCc1ccccc1)O.Cl,0
1749,O=C1NC(=O)NC(=O)C1(C)c1ccccc1,0
2256,[Ca+2].[OH-].[OH-],0
1354,O=C1c2ccc(cc2S(=O)(=O)N1C)S(=O)(=O)N,0
1658,CCOC(=O)C(c1c(O)oc2c(c1=O)cccc2)c1c(O)oc2c(c1=O)cccc2,0
1828,C1CCn2c(CC1)nnn2,0
1415,CCN(CC(COC(=O)c1ccc(cc1)N)(C)C)CC.Cl,0
2196,OS(=O)(=O)O.C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,0
1643,Cc1nccc2c1[nH]c1c2cccc1,0
1540,COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,0
1535,N#CCCCC#N,0
1464,OCC1OC(OC(CCc2ccc(cc2)O)C)C(C(C1O)O)O,0
1449,CCCCCCCCCCCC[N+](CCOc1ccccc1)(C)C.[Br-],0
1460,C=CCC1(C(=O)NC(=O)NC1=O)C1CCC=C1,0
2253,OCc1ccc(cc1)O,0
2247,CC(=O)c1cccc(n1)C(=O)C,0
1621,CC(c1c(C)n(n(c1=O)c1ccccc1)C)C,0
349,COc1cccc2c1S(=O)(=O)NC2=O,0
1846,OCCN(c1nc(N2CCCCC2)c2c(n1)c(nc(n2)N(CCO)CCO)N1CCCCC1)CCO,0
387,c1ccc2c(c1)[nH]cn2,0
1763,OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)O)C(C(C1O)O)O,0
1610,COc1ccc2c(c1)oc(cc2=O)c1ccc(cc1)O,0
1424,OP(=O)(O)O.Cc1ccc2c(c1)C13CCCCC3C(C2)N(CC1)C,0
1489,C=C1C(=O)OC2C1C(O)C1(C)C(=O)C=CC1C(C2)C,0
1696,O=C1C(C2C(C1(C)CC2)(C)C)S(=O)(=O)[O-].CCN(C(=O)c1ccc[n+](c1)C)CC,0
667,CC(=O)Nc1ccc(cc1)O,0
648,N[C@H](C(=O)O)Cc1c[nH]cn1,0
391,c1ccncn1,0
1928,COc1c(OC)ccc2c1c[n+]1CCc3c(c1c2)cc1c(c3)OCO1,0
1556,OO[C@@H]1CC[C@@]2(CC1=CC[C@@H]1[C@@H]([C@H]2O)OC(=O)C1=C)C,0
1837,CCCCN(CCN1C(=O)c2c(S1(=O)=O)cccc2)CCCC,0
1421,OC(COc1cccc2c1c(=O)cc(o2)C(=O)O)COc1ccc2c(c1)c(=O)cc(o2)C(=O)O,0
1516,CC(=CCN1CCN(CC1)Cc1ccc2c(c1)OCO2)CCC=C(CCC=C(C)C)C,0
1753,CCN(CC(CNc1c2cc(OC)ccc2nc2c1ccc(c2)Cl)O)CC.Cl.Cl,0
1755,CCC=C(C1(CC)C(=O)NC(=O)NC1=O)C.[Na],0
1597,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,0
1401,COc1c2c(=O)cc(oc2c(c2c1cco2)OC)C,0
1633,CC(C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1.OC(C(C(=O)O)O)C(=O)O,0
